nTopics,PCA,max_iter,f_score1,balanced_accuracy1,precision_macro1,recall_macro1,f_score_macro1,precision_weighted1,recall_weighted1,f_score_weighted1,kappa1,kappa_linear1,kappa_quadratic1,f_score2,balanced_accuracy2,precision_macro2,recall_macro2,f_score_macro2,precision_weighted2,recall_weighted2,f_score_weighted2,kappa2,kappa_linear2,kappa_quadratic2
500,500,5000,0.5853350189633375,0.39922351418498464,0.33400797313670166,0.39922351418498464,0.34754450438448137,0.5600829547220745,0.5853350189633375,0.5634167891126626,0.4977515278576309,0.4624015310282553,0.4548600856313465,0.4892541087231353,0.41384806181125416,0.3167483769986087,0.41384806181125416,0.32610668902220435,0.6007553600758279,0.4892541087231353,0.5240655514233253,0.4136225182575508,0.391792766828161,0.3925616324322494
1000,20,5000,0.5486725663716814,0.31251123781269385,0.25037204008918706,0.31251123781269385,0.2662332003422626,0.5333226307198963,0.5486725663716814,0.530343416176796,0.45626108371538654,0.437759756566793,0.4575462985813973,0.46270543615676357,0.36857756252808305,0.28260512213543426,0.36857756252808305,0.275407391849941,0.5905036518687465,0.46270543615676357,0.49660448507709576,0.3843963449248293,0.36750793992582453,0.36515611236175016
1000,50,5000,0.6359039190897599,0.4360839761078444,0.3705195477810153,0.4360839761078444,0.39077879894176565,0.6070681632021401,0.6359039190897599,0.6114214417339688,0.5587254237288135,0.5502442602022157,0.5577611696004339,0.5461441213653603,0.4361837929095489,0.3343377221592883,0.4361837929095489,0.35287415087596985,0.6158499496853551,0.5461441213653603,0.5673148707779576,0.4710449306974587,0.4810966920535473,0.5022504549444105
1000,150,5000,0.6346396965865992,0.4289830708488454,0.3663590263039537,0.4289830708488454,0.38583958407689745,0.6057472279847074,0.6346396965865992,0.6116637593528884,0.5578612459625166,0.5388746294476613,0.5372317055497722,0.5689001264222503,0.4831298449782296,0.3686354817100447,0.4831298449782296,0.39035330992726053,0.6482372106392326,0.5689001264222503,0.5949563507953398,0.49895604620145706,0.49412672892992493,0.5086608194233213
1000,300,5000,0.629582806573957,0.4130957797400292,0.36956970297981473,0.4130957797400292,0.3761536652488354,0.6081363974197497,0.629582806573957,0.6086845845089545,0.5518716887737345,0.5322262730344465,0.531570764613759,0.5587863463969659,0.47259810350979425,0.36606842584854876,0.47259810350979425,0.3867041425247555,0.6415248228041814,0.5587863463969659,0.5849241419184094,0.48830204487150974,0.5093152930633122,0.533465648672026
1000,500,5000,0.6232616940581542,0.4141688105735632,0.36640221072267715,0.4141688105735632,0.3766850788952416,0.5980897671238243,0.6232616940581542,0.601477496165097,0.5440428338755914,0.5194750697150163,0.51561924997406,0.5549936788874842,0.4802087211706107,0.37235861862930025,0.4802087211706107,0.3934356852671517,0.6451408745821061,0.5549936788874842,0.5819342293776442,0.4855816840829479,0.4892261611671559,0.4956325956693646
1000,1000,5000,0.629582806573957,0.4185300220319701,0.3732497571667163,0.4185300220319701,0.38259332372979843,0.6046264553399815,0.629582806573957,0.6076406925474707,0.5514892431188666,0.5288949957458461,0.5258922078660555,0.5575221238938053,0.49813818756888634,0.38357844072871855,0.49813818756888634,0.40552238160495413,0.6529620292475796,0.5575221238938053,0.5854401360606009,0.4899754429209108,0.4883825401076691,0.4905516723767819
1250,20,5000,0.5587863463969659,0.2078904026544122,0.19238062244919707,0.2078904026544122,0.1795876545047788,0.4982208267557543,0.5587863463969659,0.4910754964955007,0.4499545711758096,0.422522759458944,0.4095055324135839,0.4525916561314791,0.3140383921146448,0.2725834151027821,0.3140383921146448,0.26405006734646347,0.5501330706270386,0.4525916561314791,0.4831047773151998,0.3667835102626392,0.35162115322773846,0.36596705595793244
1250,50,5000,0.6005056890012642,0.29765782208234676,0.27864729500390145,0.29765782208234676,0.2780680480060597,0.5477993130671599,0.6005056890012642,0.5563963237845411,0.5076165430566637,0.49956209866431234,0.5036338950563054,0.5233881163084703,0.39069787870385625,0.3139367608174363,0.39069787870385625,0.3188892471300347,0.5936337773266769,0.5233881163084703,0.5436736780154029,0.4426402011083388,0.4404002885117888,0.4559939223980579
1250,150,5000,0.629582806573957,0.3480074639984321,0.4088220813266185,0.3480074639984321,0.32841800327928555,0.6315028817269314,0.629582806573957,0.588445459008728,0.5445017020038836,0.5429571121039887,0.5595693193442896,0.561314791403287,0.47441793390621195,0.36728638061890917,0.47441793390621195,0.3824036710460346,0.6349743170775703,0.561314791403287,0.5823701021419109,0.4892054199008845,0.47583901240478166,0.47379188869093625
1250,300,5000,0.6257901390644753,0.34389500850161464,0.3596234644770136,0.34389500850161464,0.32558257209423364,0.597667911377632,0.6257901390644753,0.5881151281351986,0.5404935451330422,0.5409431436790795,0.5585785531253535,0.5587863463969659,0.4935234102948118,0.3681797783825971,0.4935234102948118,0.39224264190839697,0.6202627481541021,0.5587863463969659,0.5759723054208962,0.485484826910102,0.48318817954300797,0.4907735993377831
