tree1,tree2,dist
3443,804,0.00041496934215394
839,869,0.00041498987245055727
716,2420,0.00041650240510241257
541,672,0.0004177599320962736
382,1545,0.0004184135484986383
3464,2526,0.0004184699173929024
558,2872,0.00041965937313528413
1379,2564,0.0004199060060783473
3324,3319,0.0004200264377478974
722,789,0.0004223246505371085
333,2303,0.00042287750214062975
125,3342,0.0004234247134105905
1398,2266,0.00042453771344549626
2561,2680,0.00042465958435801074
3380,3536,0.00042511270427884537
713,1202,0.0004259196659075577
507,3578,0.00042686243683095256
3394,1922,0.0004279364644328345
1118,2823,0.00042968380369493367
1943,2033,0.00043097474667394206
295,379,0.00043449229941068795
202,277,0.0004360208057879785
2165,2698,0.000436214328241538
1748,3332,0.0004374031428143986
2363,2876,0.0004378675579701022
3405,2906,0.0004381176980008464
1482,3116,0.0004392976483681352
71,3481,0.0004403091158655106
2852,3004,0.0004408904382461991
1669,2216,0.00044272983645812433
1409,1467,0.0004436135114630306
978,1524,0.00044533016563546267
826,1207,0.000447191293571389
424,1154,0.0004476090889643635
217,2955,0.0004486929323583109
969,1507,0.00044885704479719415
223,1924,0.0004506579595174604
2414,2924,0.00045069053458225705
3516,3230,0.0004514937586275261
723,3080,0.0004518291458769832
2127,3048,0.0004536284269827922
614,2716,0.00045461572378555255
2174,2742,0.0004546445194755083
2229,2657,0.00045567661410480555
466,1462,0.0004562181220616442
456,2668,0.00045676291036798704
2534,2896,0.0004570439603808051
2396,2431,0.0004582335791139345
3322,2892,0.00045956778298894725
234,294,0.0004603679944882935
1632,2295,0.00046050342327877067
817,1593,0.00046177038241015586
214,2672,0.00046198875265065706
435,1566,0.0004622196979587462
439,1569,0.0004628516256046603
1785,1927,0.0004634271273519647
887,3311,0.000463924223190337
230,3320,0.0004641428027884996
3385,815,0.00046418966365647206
3522,2274,0.0004656693731253589
1384,1695,0.0004661585726456752
182,1994,0.00046623372382995423
3388,1572,0.00046851261611298173
886,2946,0.0004687295740236526
313,2901,0.0004694972503597461
612,801,0.0004704146735453659
737,2889,0.0004707076873235773
324,1289,0.0004707308162957835
1173,1369,0.00047121948464301337
3353,3396,0.00047324345434443527
3472,2011,0.00047366490567923164
1533,2080,0.0004743650513144397
1345,3608,0.0004753187708747223
711,1725,0.00047548713117631647
178,1801,0.00047755413109506
1511,3108,0.00047859488902204407
1008,3468,0.0004799052924591568
1710,2844,0.0004815115400974516
2445,2824,0.00048176047991881424
338,2769,0.00048215031890987137
231,1293,0.0004823467250498134
210,1556,0.0004825883614121562
543,1359,0.00048307702501864096
2393,2494,0.00048323756987527205
3423,1346,0.0004849934337242713
3467,1967,0.00048573092311620866
812,3589,0.000488879982227429
2461,3214,0.0004888811302349964
2470,3087,0.0004896199291798079
2332,2563,0.0004896746929655658
1846,2180,0.0004903053078165812
183,2053,0.0004921635928088232
966,1027,0.0004935639528484293
734,1954,0.0004936664421093685
1026,1489,0.0004945376935245986
101,2582,0.0004950214920610152
640,1099,0.0004952870705827034
3317,3502,0.000495813932993144
1469,2183,0.0004965136234880516
229,645,0.0004965705668738517
667,2567,0.0004968025916370807
236,1100,0.0004971465788035879
1075,2234,0.0004972947765594093
694,2759,0.0004997962890060104
188,983,0.0005009261967894932
248,800,0.0005022812012994114
981,3609,0.0005022921847537935
606,2492,0.0005035485356118686
443,2250,0.0005053164829035301
1238,3486,0.0005066380300832712
323,1956,0.00050678426059351
221,3552,0.0005095023457407279
1152,1602,0.0005098975740142307
3471,3448,0.0005110499490102102
802,2416,0.0005122198629291357
249,1747,0.0005134962904372667
201,483,0.0005151364341855792
131,2010,0.0005158583297731612
1044,2020,0.0005165132435024679
1040,1050,0.0005177939548662112
2353,2988,0.0005183777918646472
