tree1,tree2,dist
883,2194,0.0009879954513029587
1895,2961,0.0009982853232546052
1055,1726,0.0010009971403766582
532,3350,0.0010062227036911064
1978,2075,0.0010067119542248038
3361,570,0.0010125572960745927
3429,3355,0.0010148974139856937
1029,1915,0.0010149562439659837
427,1585,0.0010189579554981676
992,2059,0.0010236619403848346
3382,1616,0.0010289964213739677
1730,2994,0.0010324781432297092
2036,2579,0.0010427153147190005
3378,2660,0.0010457563378065138
3360,1296,0.001065869109112983
1028,1674,0.0010661555645095286
1314,1816,0.001068577307221985
1979,2236,0.0010701660759642184
166,556,0.0010813271488274157
255,2153,0.0010814688681984874
1781,2655,0.0010880092705423672
282,1849,0.0010886130258678439
254,1246,0.0010918025047836344
3342,3299,0.0010981004122302407
3344,3192,0.0010998001167381866
1551,3061,0.0011002486515002963
579,2749,0.0011006434590660752
855,3072,0.0011026849732581091
103,3011,0.001107772674373203
134,2545,0.0011092490766465915
3457,3204,0.0011167554070496133
573,3087,0.001117699340887443
2402,3245,0.0011229833106565779
3375,3404,0.001124912035691622
922,1116,0.0011349176146863982
675,1480,0.001135552975593283
1580,2811,0.0011417726828603092
2446,2566,0.0011446636741062055
2817,3001,0.0011471201254771024
385,2122,0.0011487416813406037
3402,2921,0.0011573356530013013
1168,2350,0.0011621847848659328
882,3054,0.0011750453911749947
1431,3082,0.0011912371506270503
1669,1854,0.0011946207633666897
1404,1927,0.0012013049572693058
1423,1904,0.0012048191208765824
1668,1701,0.0012066182888616495
1273,3401,0.0012158527872486898
1863,2520,0.0012215231400792698
636,3372,0.0012297860220744639
126,231,0.0012308755773897014
26,1609,0.0012371977045539384
347,1734,0.0012435732568614188
189,2523,0.0012502717325340168
514,1063,0.0012644339783059177
2851,2899,0.0012648442649159652
1335,1688,0.0012693776315479965
260,1885,0.001271111064378272
308,477,0.0012793534517793609
1777,2565,0.0012846706641956307
1332,2759,0.00129246079986578
3453,1696,0.0012973255917507753
3449,1706,0.0013066168565532138
169,709,0.0013234895791351398
562,1050,0.0013246178683712362
3362,3384,0.0013350061923049217
2606,2733,0.0013387948283646867
862,2045,0.0013467303381837423
3341,3530,0.00135502912389171
248,1044,0.0013655733426568561
745,2064,0.0013682548430720698
1860,3490,0.0013683234722704496
2940,3030,0.0013736998359850372
900,1803,0.0013887337051437382
1157,1865,0.001392388756955576
2664,2741,0.0013981523766841697
571,1891,0.001398168764040364
7,533,0.0014004036069505954
944,1802,0.001410839182588025
1878,1954,0.0014130786887033703
3395,3417,0.0014139967848342816
676,1874,0.0014160170702826325
635,1383,0.0014171702176563467
1145,1932,0.001418039128306403
3405,2364,0.0014189281632613158
1466,3379,0.0014329965572615552
3346,2473,0.001433269220768002
3374,3376,0.0014335940825991877
2556,3190,0.0014338117843733789
1067,1489,0.0014646992219196214
1126,1645,0.0014726325584062672
3434,2062,0.0014753475071461186
433,2275,0.0014763990773794533
61,1586,0.0014833944817760902
907,2479,0.0014979839231586967
2524,2599,0.001499851408504435
3369,658,0.001516478871915923
3412,2318,0.0015294416970624836
1930,2635,0.0015295742500493021
1740,1778,0.0015336061188474803
315,3371,0.0015338038009398147
94,391,0.0015342682551485742
1434,1969,0.001551637976237752
2353,2919,0.001553511973731908
826,1282,0.0015568472962184596
3397,2928,0.0015632699105699727
93,2341,0.0015667900596572637
366,2453,0.0015805336193595691
1181,2470,0.0015820124077058038
1301,3277,0.0015843394708162234
225,1598,0.001585077541034291
48,1641,0.0016006916758523615
2391,3167,0.0016035493939777906
3420,3472,0.0016094282178573723
1024,3096,0.0016123883214238799
1302,1602,0.0016144146348242572
380,3557,0.001621642074403129
3337,3024,0.001623956980799035
3414,2133,0.001625929455039865
798,1362,0.001628563829239267
1072,3223,0.0016339332916117666
1245,2760,0.0016381699012594786
1321,2515,0.0016415212190823425
3421,1263,0.0016457793197677817
1499,1583,0.0016477767684616729
286,668,0.0016479501623965082
513,2991,0.0016486197662838459
226,490,0.0016539014149812709
2020,3267,0.001654289396978731
1193,1419,0.0016651106835871461
1088,1102,0.001668292373388225
3439,2181,0.0016714438785314645
3528,1291,0.0016727975662160707
1182,1743,0.0016807806838786549
1185,1787,0.0016834245887532018
1139,2625,0.0016892623297838916
